Ngo Name,Mobile No,Email,City
KOLKATA SWATANTRA,9903606215,kolkataswatantra@ymail.com,"S/1L/90205, KOLKATA, WEST BENGAL"
KOSHIKA,9481785205,koshikaudupi@gmail.com,"BHV-4-00059-2010-11, , KARNATAKA"
Association of Social Help and Advancement,9973704823,ashangomail@gmail.com,"764, Ranchi, JHARKHAND"
National Institute of Education and Development,9711169311,info@nied.in,"144, DELHI, DELHI"
WOMENS WELFARE AND SELF EMPLOY,8745011376,womanwelfare.ses1980@gmail.com,"s/11104, Delhi, DELHI"
Jana Sanskriti,9433025692,janasanskriti@gmail.com,"580666, Kolkata, WEST BENGAL"
All Round Development Association,8486522880,ardaassam2009@gmail.com,"BAR/237/K/20 of 2009, Barpeta, ASSAM"
People Animation for United Living Trust,9524646411,spaultrust@gmail.com,"116/1998, Thiruvannamalai, TAMIL NADU"
Bharat Sevashram Sangha Kunor Branch,9932849554,bsskunor1@gmail.com," 5679/61, RAIGANJ, WEST BENGAL"
prajachaitanyamahilamandali,8897872415,talent.ramesh1987@gmail.com,"5603, Nalgonda, ANDHRA PRADESH"
DurgaMahilaMandali,9885692921,pulyramesh@gmail.com,"1833, Nalgonda, ANDHRA PRADESH"
Samarpan Sewa Sansthan,9897631955,jkchauhan_mcti@rediffmail.com,"534/1999, Rampur, UTTAR PRADESH"
THE NILGIRIS EDUCATION AND RESEARCH FOUNDATION,8903862124,thenearfoundation@gmail.com,"8/2013, UDHAGAMANDALAM OOTY, TAMIL NADU"
Kanaka Durga Mahila Mandali,8886881616,johnny.annapuri@gmail.com,"2623, Nalgonda, ANDHRA PRADESH"
Swastik Foundation,9897688088,swastikfoundation84@gmail.com,"16/2014, Faridabad, HARYANA"
CARE EDUCATIONAL TRUST,9419194634,carecollege@hotmail.com,"1302842, JAMMU, JAMMU & KASHMIR"
PRANJAL INFORMATION TECHNOLOGY SOCIAL WELFARE SOCIETY,9981505051,him.ratlam@gmail.com,"07/37/01/07118/07, RATLAM, MADHYA PRADESH"
Madhyanchal Utkarsh Bahuuddeshiya Vikas Samiti,9755663354,madhyanchal.2013@gmail.com,"05/25/09/11102/13, SIDHI, MADHYA PRADESH"
UNIVISION WELFARE CHARITABLE TRUST,7277353998,univisonpost@gmail.com,"44/2013, MUNGER, BIHAR"
ASIAN CENTER FOR PROFESSIONAL SKILLS,9842110409,acps1993@gmail.com,"198/4/2013, NAGERCOIL , TAMIL NADU"
Childline India Foundation,9892440661,dial1098@childlineindia.org.in,"Society Reg 1860 No. 717/1999, Mumbai, MAHARASHTRA"
Gurukulam Foundation,9968302176,gurukulamfoundation2010@gmail.com,"2728, NEW DELHI, DELHI"
Satyadeep Mahila Mandal,9423457453,satyadeepmahilamandal@gmail.com,"F-869(Jalna), JALNA, MAHARASHTRA"
Youth for Seva,7349246271,swathi@youthforseva.org,"368/1213, Bangalore, KARNATAKA"
NGO Alliance for Governance and Renewal,,info@nagar.org.in,"F26453, Mumbai, MAHARASHTRA"
Navjeevan Dunghati Janjati Seva Sansthan,9412989207,sandeepsav@yahoo.com,"21/1991-92, Deharadun, UTTARAKHAND"
Madhya Pradesh Vikalang  Sahayta Samiti,9425332740,mpvss10@gmail.com,"2007/98, Ujjain, MADHYA PRADESH"
NATIONAL INSTITUTE FOR TECHNICAL TRAININGS,9419104591,nittjmu@gmail.com,"JRF-604 /342, JAMMU, JAMMU & KASHMIR"
UTTAMALOK A SOCIO CULTURAL ORGANISATION,9436537869,uttamalok2008@gmail.com,"6690 OF 2013, KHOWAI, TRIPURA"
JAN EVOM KRISHI VIKAS SANSTHAN,8081727500,jkvsalld@gmail.com,"1320, 2011-12, ALLAHABAD, UTTAR PRADESH"
GUIDE northeast india,8812868964,guideneindia@rediffmail.com,"RS/MRG/245/A/37, Morigaon, ASSAM"
Bhartiya Apang Ahshaya Vikas Sewa sansthan,9927530404,khan19226@gmail.com,"1211/2002-03, Bijnor, UTTAR PRADESH"
RENUKA CHARITABLE TRUST KURUL,9422150723,ukekamlesh@gmail.com,"F-648, GADCHIROLI, MAHARASHTRA"
THE YAIPHABI HANDLOOM WEAVERS CO OPERATIVE SOCIETY LTD,9862635306,yaiphabihandloom@yahoo.com,"353 of 2008-2009, Wangjing, MANIPUR"
VIDIYAL EDUCATIONAL AND RURAL DEVELOPMENT TRUST,9786205030,vidiyalvtc2011@gmail.com,"444, THANJAVUR, TAMIL NADU"
AMIYA RANJAN SAMANTA MEMORIAL FOUNDATION,9836883181,arsmfoundation2004@gmail.com,"S/1L/43471, KOLKATA, WEST BENGAL"
Deccan Development Society,9440048659,ddshyderabad@gmail.com,"1529, Hyderabad, TELANGANA"
Hind Yuva Shakti,9709641660,hindyuvashaktibgp@gmail.com,"12849, Bhagalpur, BIHAR"
Al Shamim Educational and Welfare Trust,9470825354,md.zaif786@gmail.com,"264, sitamarhi, BIHAR"
AMAR SHAHEED VEER ABDUL HAMEED WELFARE SOCIETY,9452168786,veerabdulhamid1002@gmail.com,"1002/2011-2012, BARABANKI, UTTAR PRADESH"
SAPTASHRUNGI BAHUUDDESHIYA SEVABHAVI SANSTHA,8390306090,madhavtayde1@gmail.com,"F-8884, BULDANA, MAHARASHTRA"
Jan Jagriti Seva Samiti,8958619999,jjss361@rediffmail.com,"361/1996-97, Sitarganj, UTTARAKHAND"
Sunaina Samriddhi Foundation,7860764064,iiitm.manish@gmail.com,"2, Gorakhpur, UTTAR PRADESH"
Institue of Rural Development and Management Studies,9437966413,irdmsbbsr@gmail.com,"23059/66, Bhubaneswar, ORISSA"
Social Development and Rehabilitation Trust,9345728988,sdartrust@gmail.com,"1969 of 2006, Madurai, TAMIL NADU"
JAI GANGA UTHAN SAMITI,9412379320,jaigangauthansamiti@gmail.com,"266/2003-2004, HARIDWAR, UTTARAKHAND"
Luka Pather Centre Yachigam,9906595613,lukpathercentre@gmail.com,"295-s, SRINAGAR, JAMMU & KASHMIR"
Liluah Sanjivani Welfare Society,9831728775,lswsngo@gmail.com,"S/IL/96201, Kolkata, WEST BENGAL"
Sonarpur Uddalok,,uddalok.srp@gmail.com,"S/2L/14259, Kolkata, WEST BENGAL"
PEOPLE ORGANISATION FOR WEAKER SECTION ECONOMIC RECONSTRUCTION TRUST   POWER TRUST,9345312357,powertrust1993@gmail.com,"60/1993, kattumannarkoil, TAMIL NADU"
Shri Venkateswara Fine Arts Trust,9810896932,svfatrust@gmail.com,"7164, New Delhi, DELHI"
SAMAJIK KALYAN GRAM UTTHAN SHIKSAHA SAMITI,9927117593,skgss114@gmail.com,"1707, Sambhal, UTTAR PRADESH"
Newlife Agency for Tribal People Upliftment,9443352509,natpu1991@gmail.com,"S . NO: 107 /1991, VELLORE, TAMIL NADU"
Lalita Excellence Education Society,9425010724,leesbpl@gmail.com,"01/01/01/23376/11, BHOPAL, MADHYA PRADESH"
DR D SELVANATHAN,9842253039,ijms1986@yahoo.com,"481/1992, Coimbatore, TAMIL NADU"
SHARDA GRAMEENA ABHIRUDDI HAGU VIVIDODDESH ABHIRUDDI SEVA SANSTHE R KUSHTAGI DIST KOPPAL,9886278527,prakashbedavatti@gmail.com,"UNK/V-2/S-R/78/2008-09, Kushatgi, KARNATAKA"
Langsa Hill Welfare Society,8974415834,langsym@gmail.com,"NO.H/RS-4357, Mon, NAGALAND"
Guru Kulla Cultural Academy,9856082443,gurukullaculturalacademy@yahoo.com,"4/IMP-M/SR/1994, Imphal, MANIPUR"
Institute of Peace and Progress,9612429762,ippmanipur@yahoo.com,"4413 of 1983 (M), Imphal, MANIPUR"
SAMRIDHI FOUNDATION JHARKHAND,9470508077,samridhi316@gmail.com,"316/80/2014, JAMSHEDPUR, JHARKHAND"
PASCHIM BANGA NIRAKSHARATA DURIKARAN SAMITY,9433145884,pbnds_org@yahoo.co.in,"S/10347/1970-71, Kolkata, WEST BENGAL"
socio welfare international society,9419280597,Pradeeppandita@gmail.com,"188-Rs of 2009, Jammu, JAMMU & KASHMIR"
Goutam Budha Development Society,9792061444,himanshushakya1444@gmail.com,"4406/79-80, Farrukhabad, UTTAR PRADESH"
SHRI VISHWAMITRA SHIKSHAN SAMITI,9993562000,sanjay@milestonejobs.co.in,"03/27/03/11426/09, INDORE, MADHYA PRADESH"
Gramabarathi,9751645999,gramabarathi@yahoo.com,"19/91, , TAMIL NADU"
STMOTHERTHERESACHARITYTRUST,9750342371,trustteresa@gmail.com,"47/2007, TIRUNELVELI, TAMIL NADU"
Disha Sewa Sansthan,8006734242,dishasewasansthanmrt@gmail.com,"799/2009, Meerut, UTTAR PRADESH"
Odissi Dance Centre Trust,9845073325,nrityagram@gmail.com,"E7242, Bangalore, KARNATAKA"
TRIMAT TAAKAT WELFARE FOUNDATION TRUST,9888404813,trimattaakat2012@gmail.com,"510/4, PATIALA, PUNJAB"
SAMARPAN SOCIAL DEVELOPMENT AND RESEARCH WELFARE SOCIETY,9431090394,samarpansociety2002@gmail.com,"389/2002, , BIHAR"
Society for Educational Health And Rural Development,9311348028,sehardorg@gmail.com,"S/00535/NE/2011, New Delhi, DELHI"
Roshni,9910005401,sameetasharma@hotmail.com,"245, Delhi, DELHI"
Sai Ram Welfare Society,9835120799,sairamwelfare@gmail.com,"633/10-11, Dhanbad, JHARKHAND"
Swami Vivekananda Medical Mission Muttil Wayanad,9446440528,svmm_muttil@hotmail.com,"101 slash 81, Kalpetta, KERALA"
Nutrition Foundation of India,9891485605,nutritionfoundationofindia@gmail.com,"S-9610/1978, New Delhi, DELHI"
SADIPUR MAHILA WELFARE SAMITY,9564129784,MAHILAWELFARESAMITY@LIVE.IN,"S/1L/82784, KOLKATA, WEST BENGAL"
Peoples Own Foundation,9717562786,peoplesownfoundation@gmail.com,"S/677/2013, Delhi, DELHI"
socio panorma for action research and communication humane,9029522821,sparchngo@gmail.com,"E-6040, mumbai, MAHARASHTRA"
THADOU STUDENTS ASSOCIATION,8892435189,tmlh77@outlook.com,"JNR-S279-2013-2014, Bengaluru, KARNATAKA"
I R D O,9564129784,Anmol_roychowdhury@yahoo.in,"DIC/JAL/344/2008-09, Sadipur, WEST BENGAL"
development evaluation society of india desi,9968001315,palsakti@hotmail.com,"S-32707/1998, Delhi, DELHI"
Haidry Minority Educational Charitable Trust,8802358101,haidrytrust@gmail.com,"2853/853/01/08/2013, Delhi, DELHI"
THE HELPING HANDS HUMANITY AND YOU,9322132929,dr.mayankgarg@yahoo.co.in,"S/1419/NF/2014, DELHI, DELHI"
Development Initiatives for Social Awareness Association,9030500333,disango12@gmail.com,"688/2011, , ANDHRA PRADESH"
CENTER FOR AID CARE AND CURE OF CANCER,9967336572,info@curecancer.in,"E-25167, Mumbai, MAHARASHTRA"
g earth,9540002100,gearth.2025@gmail.com,"s/rs/sw/0105/2010, gurgaon, HARYANA"
Tarabati Development Foundation,9085901063,tarabatidevelopmentfoundation@gmail.com,"KAM(M)/263/E/349 2013-14, Guwahati, ASSAM"
KARIMPUR ANAMI JATRA SAMAJ,9093117307,anamijatrasamaj2012@gmail.com,"S/1L/93597, KARIMPUR, WEST BENGAL"
public theatre artistes association,8731001762,publictheatre16@gmail.com,"862 of 1968, Imphal, MANIPUR"
Sunaada Trust,9841115382,nithyasree.srinivasan@gmail.com,"331/1994, Chennai, TAMIL NADU"
Ati pichhra Mahila Aivam Bujurg Vikash Manch,7838384579,singhrb425@gmail.com,"01020, Faridabad, HARYANA"
Global Institute of Information Technology Patna Bihar,9430510034,info.indiagiit@gmail.com,"1265, Patna, BIHAR"
DADA BHAGWAN SHIKSHAN SANSTHAN,9651105690,kumarindra014@gmail.com,"519/2005-06, SULTANPUR, UTTAR PRADESH"
HOOGHLY DR SARVEPALLI RADHAKRISHNAN SOCIAL WELFARE SOCIETY,9831393586,kollalokeswarrao@gmail.com,"S/2L/13759 of 2013-2014, BHADRESWAR, WEST BENGAL"
KRRISH,9835447447,krrishahope@gmail.com,"271/2006-07, Patna, BIHAR"
MANIPUR MAHILA KALYAN SAMITI,9862564129,mmks.imphal@gmail.com,"681, IMPHAL, MANIPUR"
Keystone Foundation,9443327360,communications@keystone-foundation.org,"1833 of 93, Kotagiri, TAMIL NADU"
Social Action for Integrated Development Services,9440824621,saidssurender@yahoo.com,"502/1988, Adilabad, TELANGANA"
SHAKUNTLA DEVI SOCIAL WELFARE SOCIETY,9454969850,dinesh.au05@gmail.com,"1226-2010-2011, ALLAHABAD, UTTAR PRADESH"
AASHA JYOTHI WELFARE ASSOCIATION FOR THE DISABLED,9397135467,ashajyothi97@gmail.com,"5874 OF 1997, MIRYALAGUDA, TELANGANA"
PT RAM ASARE MISHRA SHIKSHAN SANSTHAN,9936974909,mishrarakesh2003@gmail.com,"740/2003-04, SULTANPUR, UTTAR PRADESH"
Society for Humanity,9508884888,societyforhumanity.net@gmail.com,"RS/KARBI/249/D/98, Howraghat, ASSAM"
Anjuman Gojri Zaban o Adab Dharam Sall Kala kote,9419199859,agza1985@gmail.com,"1124-S of 1985, Rajouri, JAMMU & KASHMIR"
Hiteshri Samajik Sanstha,9826012226,rohitmagarpatil@gmail.com,"7895, Bhopal, MADHYA PRADESH"
Lord Buddha Information Technology Institute,9369061670,ho.lbiti@gmail.com,"985/2007-08, Robertsganj, UTTAR PRADESH"
DAKSHINESWAR SANKET,9830440464,priyankoaps05@gmail.com,"S/1L/74098, KOLKATA, WEST BENGAL"
SERAMPORE TAPASYA,9903112762,seramporetapasya@gmail.com,"S/1L/74096, SERAMPORE, WEST BENGAL"
Nav Gujarat Lok Seva Charitable Trust,9925807100,navgujaratlsct@yahoo.com,"F-8275, guj- 8426/ Ahmedabad, Ahmedabad, GUJARAT"
SHELTER,9600045586,sheltertrust2008@gmail.com,"78/2008, CHIDAMBARAM, TAMIL NADU"
Forum for Prevention of Road Accidents,9437195251,fprango@gmail.com,"23231/100 of 2010-11, Cuttack, ORISSA"
surabee mahila mandali,7829999111,SURABEESHIMOGA@GMAIL.COM,"SOR:186:1994-95, Davangere, KARNATAKA"
NOORI RAZA MEMORIAL EDUCATIONAL SOCIETY,9368212339,noorirazaedu.saidpurbdn@gmail.com,"B-833/2013-2014, BADAUN, UTTAR PRADESH"
ARAMBAGH GRAMIN NABADIGANTA WELFARE SOCIETY,9083617519,mondalprosenjit16@gmail.com,"S/1L/85103, ARAMBAGH, WEST BENGAL"
EDUQUEST,9818100559,eduquestreg2001@gmail.com,"S- 40927, Delhi, DELHI"
SARDAR VALLABHBHAI PATEL SEVA SANSTHAN,9415658170,svpssballia@gmail.com,"233/2008-09, BALLIA, UTTAR PRADESH"
Youth Educational Research and Relief Society,9419008925,yuvarelief@gmail.com,"6552-S of 2013, Srinagar, JAMMU & KASHMIR"
mahanadi education society,9329773024,vtp@rit.edu.in,"1862, RAIPUR, CHHATTISGARH"
Mahila Gramodyog Seva Samiti,9415836938,mgss_radhika@yahoo.co.in,"1040, Muhammadabad Gohana, UTTAR PRADESH"
THE SOCEITY ORGANIZED FOR PROMOTION OF RURAL TRIBAL AND DOWTRODDEN,9443376228,gdsoport2002@yahoo.com,"253/92 TRY, Tiruchirappalli, TAMIL NADU"
Dev Sarvodaya Samiti,9770123311,devsarvodayasamiti@gmail.com,"SS246, Sagar, MADHYA PRADESH"
Empowering Humanity,9211211911,president@empoweringhumanity.org,"S/RS/SW/1093/2014, Delhi, DELHI"
Vidarbha Minority Multipurpose Rural Development Educational Society Nagpur,9326669893,vmmrdes@gmail.com,"MAHA/32/07/NAGPUR, Kamptee, MAHARASHTRA"
Drishti The vision,9839259571,janardan_101121@rediffmail.com,"393, Gorakhpur, UTTAR PRADESH"
Jan Shikshan Sansthan Bastar,9424284171,jss.bastar@gmail.com,"136, Jagdalpur, CHHATTISGARH"
Edu Action Development Sansthan,9460021725,ronak.lazrus@gmail.com,"42/Banswara/2010-11, Banswara, RAJASTHAN"
Rural Environmental And Educational Economic Development Trust,9486258573,officereeedtrust@gmail.com,"70/2004, Theni, TAMIL NADU"
MODERN THEATRE FOUNDATION,9905405710,mtf.bgs@gmail.com,"2245, Begusarai, BIHAR"
GANDHI SEVA SADAN KATHAKALI AND CLASSIC ARTS AKADEMY,9447940455,sadanamkathakaliakademy@gmail.com,"S No 7 of 1973, PALAKKAD, KERALA"
Kota Heritage Society,9829036384,victoriaksingh@googlemail.com,"74, Kota, RAJASTHAN"
Kalawardhan,9827234770,kalawardhanngo@gmail.com,"04/14/01/16234/14, Jabalpur, MADHYA PRADESH"
omkarameducationalsociety,9494927920,rajutheleader@gmail.com,"42/2014, udayagiri, ANDHRA PRADESH"
V VIJAYA LAKSHMI MARY,9440460774,vmm.ndl@gmail.com,"97 OF 1975, NANDYAL, ANDHRA PRADESH"
THEATRE WORKSHOP,9831711905,theatreworkshopkolkata@gmail.com,"S/8306 of 1966-1967, KOLKATA, WEST BENGAL"
SAGARPUTRA SHIKSHAN PRASARAK MANDAL,7350874515,c.kulbhaiyya@gmail.com,"MAH/159/AURANGABAD, PAITHAN, MAHARASHTRA"
swargiya shri ganeshdas ji maharaj smriti shiksha sewa samiti,7771806859,lateshrigdmssss@gmail.com,"02/42/01/17600/13, gwalior, MADHYA PRADESH"
SAMAJ KALYAN PARISHAD JHANSI,9918903044,skpindia777@gmail.com,"375-404/P6/06-06-2012, ORAI, UTTAR PRADESH"
DHATRI RURAL DEVELOPMENT SOCIETY,9177741155,drds2013@hotmail.com,"657/2013, Hyderabad, ANDHRA PRADESH"
Tiljala Writu,9331024724,tiljalawritu@gmail.com,"S/1L/74196, Kolkata, WEST BENGAL"
JCI Kalol Charitable Trust,9426369920,gandhidhvalc@gmail.com,"E/1470/GANDHINAGAR, Kalol, GUJARAT"
Adarash MAhila Kalyan Samiti,8090023402,s4sweta1978@gmail.com,"799/1998-99, Lucknow, UTTAR PRADESH"
The Mahila Gramodhyog And Shishu Vikas Seva Trust,9755085617,bhavesh88831@gmail.com,"F1005, Dahod, GUJARAT"
archna gramydoug samajik sansthan,9997108253,archanaidup@gmail.com,"103, saharanpur, UTTAR PRADESH"
jivan  jagruti medical and social society,9595950180,jivanjagruti@gmail.com,"F/9217, Aurangabad, MAHARASHTRA"
social welfare and educational developement association,9648073122,swaeda.up@gmail.com,"342-2011-2012, Lakhimpur, UTTAR PRADESH"
HARIPAL ANNABHUBAN NATYA GOSTHI,8001771383,annabhuban.haripal@gmail.com,"S/IL/72773, CHANDANNAGAR, WEST BENGAL"
India Evangelical and Educational Rural Development,9908546227,ieerdngo@gmail.com,"57, Addanki, ANDHRA PRADESH"
Krishna District Federation of Mahila Mandals,9440313141,kdfmm@outlook.com,"9 of 1990, Vijayawada, ANDHRA PRADESH"
Anupma Foundation,8052160363,anupmafoundation@gmail.com,"1296-2010-2011, Lucknow, UTTAR PRADESH"
pushakara Matha Convent Committee,8688855544,pccorg1982@gmail.com,"562/1982, Rajahmundry rural, ANDHRA PRADESH"
LWRGI THEATRE GROUP,9954635442,theatrelwrgi@gmail.com,"KJR / 253 / L / 106 of 2009, Kokrajhar, ASSAM"
Society for Mother and Infant Liberal Education,9439167963,smileorg13@yahoo.com,"GJM no.8382-92 of 2012-2013, Berhampur, ORISSA"
School of Social Work,9402440004,sswdimapur@gmail.com,"1729, Dimapur, NAGALAND"
Samarthya Research and Social Welfare Organisation,9650877700,samarthyawelfare@gmail.com,"S/1290/NE/2013, Delhi, DELHI"
KIPS EDUCATIONAL CHARITABLE TRUST,9646650000,kipschairman@gmail.com,"211, BATHINDA, PUNJAB"
Surguja Gyanodaya Association,9926191625,gyanodayasurguja@gmail.com,"23959, Surajpur, CHHATTISGARH"
Al KHIDMAT WOMEN AND CHILD WELFARE SOCIETY,9622798220,alkhidmatwcws@gmail.com,"6587, SRINAGAR, JAMMU & KASHMIR"
RABBAN EDUCATION SOCIETY,9458890786,musvvir@gmail.com,"1281-1997-98, MUZAFFARNAGAR, UTTAR PRADESH"
Jonson Academic Institute,9793328767,jaisalamit@gmail.com,"1343-2003-2004, Unnao, UTTAR PRADESH"
MAA MANIKESWARI CULTURAL YOUTH CLUB TERESINGA,9853636317,manikeswari.1990@gmail.com,"kld-645-196 of 1990-91, Bhawanipatna, ORISSA"
CHURCH OF NORTH INDIA SHISHU SANGOPAN GRIHA,9899002676,ssgadmin@cnissg.org,"10582, New Delhi, DELHI"
NATURE CURE RESEARCH AND PRODUCTION CENTRE,7085027777,naturecure.rpc@gmail.com,"19 UD SR 2000M, Imphal, MANIPUR"
R B MEMORIAL SEWA SANSTHAN,9984038904,rbmssrbl@gmail.com,"2442, RAEBARELI, UTTAR PRADESH"
Asha Bhavan Crentre,9073302200,abcindia.sukeshi@gmail.com,"S/96877, Howrah, WEST BENGAL"
GRASS ROOT ORGANISATION FOR UPLIFTMENT OF THE POOR,8008658555,group.ngo237@gmail.com,"237 of 2010, HYDERABAD, ANDHRA PRADESH"
Rilum Foundation for Sustainable development,9862575232,rilumfoundation@gmail.com,"Sr/RCSED-875/01 of 2001, Shillong, MEGHALAYA"
SRI SINDHURA NRUTHYA KALA ACADEMY,9731855521,ssnka1999@gmail.com,"302/1999, CHINTHAMANI, KARNATAKA"
SANKALAP,9583965924,sankalap2014@gmail.com,"5164-24, PURI, ORISSA"
Voice for the Oppressed through Integrated Community Emancipation Trust,94431943380,voicetrust.try@gmail.com,"380/85, Trichy, TAMIL NADU"
Integrated Rural Upliftment Services,9856027606,iruskiyam@gmail.com,"84 of 1991, Thoubal, MANIPUR"
Charutar Arogya Mandal,8141933322,helpus@charutarhealth.org,"Guj/91/Anand, Anand, GUJARAT"
SISTERS OF CROSSSOCIETY FOR EDUCATION DEVELOPMENT,9443675240,socsead@gmail.com,"121/1998, TIRUCHIRAPPALLI, TAMIL NADU"
ALL INDIA MILLY FOUNDATION,9451441085,inscollege@hotmail.com,"1567, ALLAHABAD, UTTAR PRADESH"
ANKUR PRAGATISHEEL MAHILA KENDRA,9425021570,ankurpmk98@gmail.com,"5852/98, SHAJAPUR, MADHYA PRADESH"
Society for Weaker Community,9437000489,swcbdkodisha@gmail.com,"1835-16, Bhadrak, ORISSA"
BHARTIYA ADIM JATI SEVAK SANGH,9717741545,bajss49@rediffmail.com,"S-404, New Delhi, DELHI"
VIGHANAHARTA FOUNDETION ASEGAON PEN,9850710822,vighanaharta9978@rediffmail.com,"MH.NO. 690 / 2010, WASHIM, MAHARASHTRA"
A Giggles Welfare Organisation,,contact@agwo.org,"59154, Delhi, DELHI"
Vivekanand Swadhyay Mandal Samiti,7500241487,vsmpantnagar@gmail.com,"162/2011-12, Pantnagar, UTTARAKHAND"
Sitthar Koodam,9940475555,sittharkoodam@gmail.com,"1321/2002, Kalligudi, TAMIL NADU"
Assam Centre for Rural Development,9435110275,acrd1995@gmail.com,"2917/1995-1996, Guwahati, ASSAM"
PARENTS ASSOCIATION FOR MENTALLY HANDICAPPED PERSONS,9491141530,pamencap.manochaitanya@gmail.com,"473/1987, Godavarikhani, TELANGANA"
Rural Performing Arts Centre,8014003937,rupcentre@gmail.com,"852, Imphal West, MANIPUR"
Upasana Jan Kalyan Sewa Samiti,8126078344,upasnajkssmiti@rediffmail.com,"89/1994-95, BAREILLY, UTTAR PRADESH"
krantiyug samaj kalyan samiti khajuraho,9893993488,krantiyugkhajuraho2011@gmail.com,"06/12/02/08494/11, Khajuraho, MADHYA PRADESH"
geetanjali international folk tang,9045132092,ginternational.folk@gmail.com,"1687/2004-2005, mathura, UTTAR PRADESH"
The Will Association,9856733062,thewillassociation@gmail.com,"915, Imphal, MANIPUR"
guru angad dev sewa society,9815177324,gadssldh@gmail.com,"1300, ludhiana, PUNJAB"
THE KHA MANIPUR PARENTS ASSOCIATION FOR THE DISABLE,9856140085,kmpa171@gmail.com,"171 OF 1997-98, Thoubal, MANIPUR"
Punjabi Herritage Foundation,9501435771,surinderkamal75@gmail.com,"269, Amritsar, PUNJAB"
INTERNATIONAL HUMAN RIGHTS PROTECTORS GROUP,9331875531,ihrpg.india@gmail.com,"01417/2011, HOWRAH, WEST BENGAL"
FRIENDS OF HANDICAPPED INDIA,9756220046,bansalsatyakam@gmail.com,"1887, MEERUT, UTTAR PRADESH"
Koushiki Shiksha Avm Seva Sansthan,9893530606,Koushikisansthan@gmail.com,"03/28/01//08576/05, Dhar, MADHYA PRADESH"
KALYAN,9437240649,kalyan.cfa23@rediffmail.com,"4321-126, BALANGIR, ORISSA"
SOWMYA VOLUNTARY ORGANISATION,9390109160,sowmyango@gmail.com,"5898, WARANGAL, ANDHRA PRADESH"
gunj shikcha seva avam vikas samiti,8109577363,sdnarware@gmail.com,"01/06/07/28062/14, ATHNER, MADHYA PRADESH"
GLORY SHIKSHAN VA SAMAJIK SANSTHA GADCHIROLI,9403819393,gloringo@rediffmail.com,"MH/105/2011 F- 5996 GADCHIROLI, GADCHIROLI, MAHARASHTRA"
jan jagran educational and helth welfear society sagar,9630309033,jjsociety1@gmail.com,"ss/3824, sagar, MADHYA PRADESH"
AANCHAL Foundation,9426301418,aanchalfoundation@gmail.com,"F/15515/Amdavad, Ahmedabad, GUJARAT"
SAJAR HEALTH EDUCATION AND CHARITABLE TRUST,9994999493,sajartrust@gmail.com,"779/BK IV/2008, MADURAI, TAMIL NADU"
Rural Litigation and Entitlement Kendra,9358101392,rlek.org@gmail.com,"1044/1988-89, Dehradun, UTTARAKHAND"
SAMARPAN SANSTHA UP,9415364011,samarpansanstha@gmail.com,"VRNS/1419/2004-05, GHAZIPUR, UTTAR PRADESH"
Kultapara Adarsh Social Welfare Society,9474788636,kultaparaadarsh@gmail.com,"S/1L-83246, PINGLA, WEST BENGAL"
Jagatjyoti Gramin Bahu Uddeshiy shaikshnik V Sevabhavi Sanstha Nalegaon,9075993666,jagatjyoti4ngo@gmail.com,"F14620, Nalegaon, MAHARASHTRA"
MARUTHAM RESEARCH FOUNDATION,9790364362,maruthamresearchfoundation@gmail.com,"64/4/2014, MADURAI, TAMIL NADU"
Kanglei Sheishaklon Shindamshang,8014992848,kh.sundari@rediffmail.com,"310/SR(IE)/2011, , MANIPUR"
mahilakalyansamitimohali,9464225637,maks_deepika@yahoo.com,"29, mohali, PUNJAB"
Sahachetana Naatyalaya,9449967914,sahachetana@gmail.com,"SMG-SO688-2009-10, Shimoga, KARNATAKA"
ASHIRWAD VIKLANG TRUST,9825327351,jadavatd@yahoo.com,"E/935, Sayla, GUJARAT"
flying fairies social and cultural welfare society,8962232305,flyingfairiesgroup@gmail.com,"20843/09, BHOPAL, MADHYA PRADESH"
LOKHIT JANKALYAN SEVA SANSTHAN,8292706296,ljss2008@gmail.com,"664, RANCHI, JHARKHAND"
Amulya Kranti Nasha Mukti evem punarvas kendra,9826278443,amulyakrantiorg@gmail.com,"Bhopal/Hoshangabad divi/1535, Bhopal, MADHYA PRADESH"
MAHAVIR INTERNATIONAL FOUNDATION TRUST,9374711264,cankothari@rediffmail.com,"191/JAIPUR/1975-76, JAIPUR, RAJASTHAN"
Village INDIA Kalyan Sansthan,9454889702,VIKASTRUST01@gmail.com,"2586, BINDKI, UTTAR PRADESH"
Swaramurthy V N Rao Memorial Trust,9845054659,myveesu@gmail.com,"466/05-06, Bangalore, KARNATAKA"
Shubham,9431239841,shubhammuzngo@gmail.com,"291-94, Muzaffarpur, BIHAR"
Bharat Sevashram Sangha Ghaksole,9474652278,bssghaksole@gmail.com,"BSS-Ghaksole-5679-61, Malda, WEST BENGAL"
Akriti Vikas Sansthan,9455150000,secretary@avsindia.org,"630, Lucknow, UTTAR PRADESH"
Astitv Charitable Trust bhavnagar,9099690001,astitvachtrust@gmail.com,"F/1493/Bhavanagar, Bhavnagar, GUJARAT"
GHOLA KAALMUKUR,7278730998,kaalmukur@gmail.com,"S/1L/87912, KOLKATA, WEST BENGAL"
